epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,14530.8,1.30435,1.37379,0.87043,0.37008,0.25563,0.2206,0.16542,1.17763,1.34746,0.88476,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,14976.7,1.30025,1.36512,0.86825,0.3738,0.25303,0.22254,0.16701,1.17608,1.34523,0.88452,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,15432.2,1.29364,1.36315,0.86605,0.37936,0.25384,0.22269,0.16704,1.17482,1.34272,0.8843,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,15902.4,1.29033,1.35173,0.86577,0.3806,0.2556,0.22319,0.16752,1.17363,1.34074,0.88427,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,16349.9,1.29067,1.35001,0.86583,0.38466,0.25578,0.22396,0.16796,1.17266,1.33832,0.8843,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,16801.7,1.28229,1.33872,0.8643,0.37986,0.25858,0.22426,0.16825,1.17172,1.33614,0.88386,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,17268.8,1.27266,1.31915,0.86239,0.37984,0.26083,0.22586,0.1698,1.17065,1.33434,0.88332,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,17712.1,1.27175,1.31411,0.86156,0.38168,0.26169,0.22765,0.17131,1.16961,1.33298,0.88267,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,18169,1.27644,1.31383,0.8598,0.38344,0.26423,0.22784,0.17141,1.1692,1.33118,0.88243,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,18555.9,1.23582,1.26627,0.85792,0.38389,0.26042,0.22917,0.17244,1.16881,1.3293,0.882,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,18955.2,1.22268,1.24807,0.85588,0.38692,0.26002,0.22955,0.17311,1.16789,1.32784,0.88134,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,19355.2,1.21941,1.23962,0.85431,0.38499,0.26011,0.23057,0.17386,1.16659,1.32503,0.8806,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,19749.9,1.21118,1.22649,0.85336,0.38563,0.26125,0.23221,0.17557,1.16556,1.32321,0.8801,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,20158.6,1.20681,1.21446,0.85143,0.38773,0.26175,0.2336,0.17652,1.16456,1.32059,0.87961,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,20575.4,1.20242,1.20336,0.85102,0.38765,0.26185,0.23371,0.17633,1.16375,1.31935,0.8792,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,20999.3,1.19536,1.19284,0.84698,0.38944,0.26078,0.23428,0.17703,1.16284,1.31861,0.87884,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,21434.5,1.18998,1.18285,0.84558,0.36811,0.26251,0.2353,0.17785,1.16208,1.31749,0.87859,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,21863.8,1.18553,1.1766,0.84386,0.36816,0.26229,0.23586,0.17833,1.16139,1.31765,0.87832,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,22295.3,1.18041,1.16476,0.84522,0.37529,0.26383,0.23618,0.1787,1.16087,1.31757,0.87789,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
